Titik Awal,Koordinat Awal,Tujuan,Koordinat Tujuan,Jarak Tempuh (km),Waktu Tempuh (menit),Kapasitas Full Tanki Bensin (liter),Jarak Tempuh Bensin per Liter (km/l),Rekomendasi_SPBU,Rekomendasi_TempatIstirahat,Rekomendasi_Penginapan
Situ Gede,"(-7.323856, 108.22867)",Pantai Kejawanan,"(-6.73358, 108.581212)",76.30025948740021,99,11,46.9384803463596,tidak,ya,tidak
Tugu Pahlawan,"(-7.245971, 112.737826)",Kenjeran Park,"(-7.22302, 112.790361)",6.332164273954874,7,8,36.96157389684296,tidak,tidak,tidak
Kota Tua,"(-6.1352, 106.813301)",Gunung Galunggung,"(-7.241253, 108.082577)",186.47986997530228,199,11,35.14224790170565,tidak,ya,tidak
Monas,"(-6.175392, 106.827153)",Simpang Lima,"(-6.9925, 110.420601)",407.1996106827435,488,14,43.65950304946252,tidak,ya,tidak
Kediri Mall,"(-7.82424, 112.011388)",Pantai Kejawanan,"(-6.73358, 108.581212)",397.2997351804252,418,15,42.83661087657074,tidak,ya,tidak
Gunung Galunggung,"(-7.241253, 108.082577)",Pantai Kejawanan,"(-6.73358, 108.581212)",78.83770882214229,107,7,43.401599363105504,tidak,ya,tidak
Pantai Kejawanan,"(-6.73358, 108.581212)",Alun-Alun Malang,"(-7.978639, 112.630141)",467.47482395927193,572,15,35.722607351231666,ya,ya,tidak
Sam Poo Kong,"(-6.992966, 110.389888)",Jatim Park,"(-7.887634, 112.53475)",256.5596423926739,327,4,36.84767589887859,ya,ya,tidak
Gedung Sate,"(-6.902475, 107.618782)",Coban Rondo,"(-7.895497, 112.533402)",553.0554383088111,706,4,42.18644331332516,ya,ya,ya
Pantai Kejawanan,"(-6.73358, 108.581212)",Trans Studio,"(-6.926855, 107.634515)",106.7073422417034,148,13,30.961183326136545,tidak,ya,tidak
Coban Rondo,"(-7.895497, 112.533402)",Lawang Sewu,"(-6.983784, 110.40908)",255.22080071498667,340,6,49.70807818168373,ya,ya,tidak
Simpang Lima,"(-6.9925, 110.420601)",Gedung Sate,"(-6.902475, 107.618782)",309.4219783736561,320,13,44.73696136009363,tidak,ya,tidak
Masjid Agung Serang,"(-6.117978, 106.153106)",Kota Tua,"(-6.1352, 106.813301)",73.01616502943328,106,12,47.4310469441139,tidak,ya,tidak
Simpang Lima Gumul,"(-7.815934, 112.011961)",Gedung Sate,"(-6.902475, 107.618782)",495.0010525900542,675,13,44.158694407179766,ya,ya,ya
Lawang Sewu,"(-6.983784, 110.40908)",Keraton Kasepuhan,"(-6.724108, 108.555726)",206.63784712749109,295,6,42.64547152224056,ya,ya,tidak
Kediri Mall,"(-7.82424, 112.011388)",Pantai Kejawanan,"(-6.73358, 108.581212)",397.2997351804252,554,14,44.66606508186864,tidak,ya,tidak
Gedung Sate,"(-6.902475, 107.618782)",Coban Rondo,"(-7.895497, 112.533402)",553.0554383088111,790,4,30.16019611663547,ya,ya,ya
Malioboro,"(-7.79558, 110.36949)",Situ Gede,"(-7.323856, 108.22867)",241.73771808100216,250,15,36.61661921702716,tidak,ya,tidak
Keraton Kasepuhan,"(-6.724108, 108.555726)",Lawang Sewu,"(-6.983784, 110.40908)",206.63784712749109,302,15,45.19093857861394,tidak,ya,tidak
Kraton,"(-7.805691, 110.364914)",Kota Tua,"(-6.1352, 106.813301)",433.7705844452284,591,9,43.62751161845124,ya,ya,tidak
Kraton,"(-7.805691, 110.364914)",Gedung Sate,"(-6.902475, 107.618782)",319.05965893949354,354,13,49.29320004082037,tidak,ya,tidak
Jatim Park,"(-7.887634, 112.53475)",Taman Sari,"(-7.811356, 110.359499)",239.7603293571076,271,4,33.56346273669511,ya,ya,tidak
Pantai Kejawanan,"(-6.73358, 108.581212)",Malioboro,"(-7.79558, 110.36949)",229.89530888599307,306,10,49.65468363456578,tidak,ya,tidak
Jatim Park,"(-7.887634, 112.53475)",Tugu Pahlawan,"(-7.245971, 112.737826)",74.77854391477503,101,14,44.34349261054359,tidak,ya,tidak
Monas,"(-6.175392, 106.827153)",Monas,"(-6.175392, 106.827153)",0.0,0,4,34.00724650348755,tidak,tidak,tidak
Farm House,"(-6.832553, 107.605373)",Coban Rondo,"(-7.895497, 112.533402)",556.1457275434485,585,13,45.69225229182319,ya,ya,tidak
Taman Sari,"(-7.811356, 110.359499)",Stasiun Cirebon,"(-6.710515, 108.561267)",233.0781537360118,263,7,32.45548354469892,ya,ya,tidak
Coban Rondo,"(-7.895497, 112.533402)",Simpang Lima,"(-6.9925, 110.420601)",253.6682771183929,298,13,34.0540451230775,tidak,ya,tidak
Situ Gede,"(-7.323856, 108.22867)",Monas,"(-6.175392, 106.827153)",200.64499390224896,293,7,30.892503471728716,ya,ya,tidak
Jatim Park,"(-7.887634, 112.53475)",Farm House,"(-6.832553, 107.605373)",556.1107048347578,813,4,33.65245216746396,ya,ya,ya
Stasiun Cirebon,"(-6.710515, 108.561267)",Sam Poo Kong,"(-6.992966, 110.389888)",204.3093087595754,235,11,37.36935441283662,tidak,ya,tidak
Jatim Park,"(-7.887634, 112.53475)",Gua Maria Pohsarang,"(-7.856367, 112.010669)",57.83059250260582,68,9,34.46757176838589,tidak,tidak,tidak
Taman Sari,"(-7.811356, 110.359499)",Tugu Pahlawan,"(-7.245971, 112.737826)",269.60895547353385,359,10,36.59848470473042,tidak,ya,tidak
Gedung Sate,"(-6.902475, 107.618782)",Tugu Pahlawan,"(-7.245971, 112.737826)",566.164668640769,595,13,49.85413298586727,ya,ya,tidak
Tugu Pahlawan,"(-7.245971, 112.737826)",Keraton Kasepuhan,"(-6.724108, 108.555726)",465.206990355572,536,7,38.336410829435486,ya,ya,tidak
Farm House,"(-6.832553, 107.605373)",Tugu Pahlawan,"(-7.245971, 112.737826)",568.259327887633,831,6,49.59990548998259,ya,ya,ya
Tugu Pahlawan,"(-7.245971, 112.737826)",Gunung Galunggung,"(-7.241253, 108.082577)",513.5068135244303,684,11,33.990291117811296,ya,ya,ya
Simpang Lima Gumul,"(-7.815934, 112.011961)",Farm House,"(-6.832553, 107.605373)",498.1337156892004,524,4,40.49393716531284,ya,ya,tidak
Lawang Sewu,"(-6.983784, 110.40908)",Farm House,"(-6.832553, 107.605373)",309.950662818426,326,7,34.900255035627126,ya,ya,tidak
Stasiun Cirebon,"(-6.710515, 108.561267)",Alun-Alun Serang,"(-6.11907, 106.150194)",274.4161936317392,392,12,49.06293672377777,tidak,ya,tidak
Malioboro,"(-7.79558, 110.36949)",Taman Mini,"(-6.30242, 106.895382)",417.77980751441487,472,10,42.623913823797466,ya,ya,tidak
Keraton Kasepuhan,"(-6.724108, 108.555726)",Tugu Pahlawan,"(-7.245971, 112.737826)",465.206990355572,634,15,48.39971134345353,tidak,ya,ya
Taman Mini,"(-6.30242, 106.895382)",Gedung Sate,"(-6.902475, 107.618782)",104.09949292738544,115,5,31.005311501178056,tidak,ya,tidak
Tugu Pahlawan,"(-7.245971, 112.737826)",Banten Lama,"(-6.034228, 106.128827)",742.2696872099011,873,14,38.23307105114422,ya,ya,ya
Simpang Lima,"(-6.9925, 110.420601)",Kota Tua,"(-6.1352, 106.813301)",409.7233243440768,438,10,44.68184355573657,ya,ya,tidak
Tugu Pahlawan,"(-7.245971, 112.737826)",Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",498.6952441614354,586,13,36.027037567743186,ya,ya,tidak
Kraton,"(-7.805691, 110.364914)",Situ Gede,"(-7.323856, 108.22867)",241.48958350489227,278,11,42.9871104892221,tidak,ya,tidak
Keraton Kasepuhan,"(-6.724108, 108.555726)",Coban Rondo,"(-7.895497, 112.533402)",457.6215591562663,481,6,40.675752138639766,ya,ya,tidak
Taman Sari,"(-7.811356, 110.359499)",Trans Studio,"(-6.926855, 107.634515)",316.1838727300024,421,13,38.729791915386734,tidak,ya,tidak
Masjid Agung Serang,"(-6.117978, 106.153106)",Stasiun Cirebon,"(-6.710515, 108.561267)",274.1332427843531,342,7,47.37578607103896,ya,ya,tidak
Situ Gede,"(-7.323856, 108.22867)",Monas,"(-6.175392, 106.827153)",200.64499390224896,207,12,30.58766490907117,tidak,ya,tidak
Keraton Kasepuhan,"(-6.724108, 108.555726)",Farm House,"(-6.832553, 107.605373)",105.62632957965106,129,7,47.32002796878152,tidak,ya,tidak
Sam Poo Kong,"(-6.992966, 110.389888)",Trans Studio,"(-6.926855, 107.634515)",304.21419808134414,314,10,49.59203240915933,tidak,ya,tidak
